USGS_gage,Long,Lat,HUC8,Watershed,Site_name
USGS-07288519,-90.732833,33.567556,8030207,Big Sunflower,"PORTER BAYOU AT HWY 448 AT FRAZIER, MS"
USGS-07288521,-90.672361,33.54825,8030207,Big Sunflower,"PORTER BAYOU AT STEPHENSVILLE, MS"
USGS-07288523,-90.642869,33.488729,8030207,Big Sunflower,"PORTER BAYOU NEAR INDIANOLA, MS"
USGS-07288530,-90.575,33.473056,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AB QUIVER R NR INDIANOLA, MS"
USGS-07288550,-90.425,33.818417,8030207,Big Sunflower,"QUIVER RIVER NEAR DREW, MS"
USGS-07288555,-90.519444,33.713333,8030207,Big Sunflower,"QUIVER RIVER SOUTHEAST RULEVILLE, MS"
USGS-07288570,-90.401476,33.640395,8030207,Big Sunflower,"QUIVER RIVER NR DODDSVILLE, MS"
USGS-07288580,-90.438697,33.529563,8030207,Big Sunflower,"QUIVER RIVER NR SUNFLOWER, MS"
USGS-07288595,-90.487778,33.496944,8030207,Big Sunflower,"QUIVER RIVER AT MOOREHEAD, MS"
USGS-07288600,-90.518333,33.487778,8030207,Big Sunflower,"QUIVER RIVER NR MOORHEAD, MS"
USGS-07288609,-90.554255,33.474841,8030207,Big Sunflower,"QUIVER RIVER ABOVE THE MOUTH NEAR MOOREHEAD, MS"
USGS-0728860950,-90.564444,33.468056,8030207,Big Sunflower,"QUIVER RIVER AT NORTH NOBILE RD NR MOOREHEAD, MS"
USGS-07288610,-90.562589,33.462341,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR MOOREHEAD, MS"
USGS-07288620,-90.591667,33.427222,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT BAIRD, MS"
USGS-07288621,-90.633611,33.418333,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT INDIANOLA, MS"
USGS-0728862104,-90.668056,33.404167,8030207,Big Sunflower,"BEASLEY LAKE TRIBUTARY NO 3 NEAR INDIANOLA, MS"
USGS-0728862105,-90.659444,33.399722,8030207,Big Sunflower,"BEASLEY LAKE TRIBUTARY NO 4A NEAR INDIANOLA, MS"
USGS-0728862106,-90.659722,33.401944,8030207,Big Sunflower,"BEASLEY LAKE TRIBUTARY NO 4B NEAR INDIANOLA, MS"
USGS-0728862107,-90.666944,33.397778,8030207,Big Sunflower,"BEASLEY LAKE TRIBUTARY NO 4 NEAR INDIANOLA, MS"
USGS-07288624,-90.706389,33.309444,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT KINLOCK, MS"
USGS-0728862450,-90.730096,33.254288,8030207,Big Sunflower,"BIG SUNFLOWER ABOVE BOGUE PHALIA NR DARLOVE, MS"
USGS-07288637,-90.844117,33.897389,8030207,Big Sunflower,"SNAKE CREEK NEAR WINSTONVILLE, MS"
USGS-07288643,-90.852778,33.602778,8030207,Big Sunflower,"BOGUE PHALIA NR SHAW, MS"
USGS-07288646,-90.868889,33.503611,8030207,Big Sunflower,"CLEAR CREEK AT NAPANEE, MS"
USGS-0728864650,-90.954531,33.627981,8030207,Big Sunflower,"CLEAR CREEK NEAR GRAPELAND, MS"
USGS-07288647,-90.858988,33.447061,8030207,Big Sunflower,"BOGUE PHALIA ABOVE ELIZABETH, MS"
USGS-07288650,-90.847778,33.396667,8030207,Big Sunflower,"BOGUE PHALIA NR LELAND, MS"
USGS-07288656,-90.731762,33.254288,8030207,Big Sunflower,"BOGUE PHALIA NEAR DARLOVE, MS"
USGS-07288700,-90.777876,32.971794,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR ANGUILLA, MS"
USGS-07288711,-90.835547,32.886775,8030207,Big Sunflower,"ROLLING FORK CREEK NEAR ROLLING FORK, MS"
USGS-07288720,-90.718889,32.813611,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT HOLLY BLUFF, MS"
USGS-0728872008,-90.69593,32.869019,8030207,Big Sunflower,"SILVER CREEK NR BAYLAND, MS"
USGS-0728875070,-90.891944,33.401111,8030207,Big Sunflower,"DEER CREEK EAST OF LELAND, MS"
USGS-07288770,-90.846489,33.149845,8030207,Big Sunflower,"DEER CREEK NR HOLLANDALE, MS"
USGS-0728879790,-90.881213,32.706522,8030207,Big Sunflower,"FALSE RIVER NEAR ONWARD, MS"
USGS-07288798,-90.8176,32.6943,8030207,Big Sunflower,"LITTLE SUNFLOWER RIVER NR VALLEY PARK, MS"
USGS-324806090553601,-90.925372,32.804964,8030207,Big Sunflower,G0028  SHARKEY
USGS-324909090421200,-90.702875,32.819298,8030207,Big Sunflower,SILVER CREEK AT HOLLY BLUFF MS
USGS-325427090524500,-90.879167,32.9075,8030207,Big Sunflower,"DEER CREEK AT ROLLING FORK, MS"
USGS-325438090521601,-90.875222,32.907808,8030207,Big Sunflower,E0015  SHARKEY
USGS-325449090451700,-90.75482,32.913739,8030207,Big Sunflower,"BIG SUNFLOWER R BL H.B. CUTOFF NR ROLLING FORK, MS"
USGS-325616090461600,-90.771209,32.937905,8030207,Big Sunflower,"BIG SUFLOWER R AT B.E. LANDING NR ROLLING FORK, MS"
USGS-325637090434100,-90.727956,32.943672,8030207,Big Sunflower,"DOWLING BAYOU NEAR ANGUILLA, MS"
USGS-325738090412900,-90.691389,32.960556,8030207,Big Sunflower,"DOWLING BAYOU SW OF LOUISE, MS"
USGS-325817090464201,-90.778333,32.971389,8030207,Big Sunflower,C2027  SHARKEY (Anguilla)
USGS-325817090464204,-90.778333,32.971389,8030207,Big Sunflower,C2027B  SHARKEKY
USGS-325817090464210,-90.778333,32.971389,8030207,Big Sunflower,C2027C  SHARKEY
USGS-325829090392400,-90.656667,32.974722,8030207,Big Sunflower,"DOWLING BAYOU AT COUNTY LINE RD NR LOUISE, MS"
USGS-325901090465500,-90.778333,32.982222,8030207,Big Sunflower,JAYNES BAYOU AT MOUTH NEAR ANGUILLA MS
USGS-330236090420100,-90.700374,33.043459,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR DELTA CITY, MS"
USGS-330730090431300,-90.720278,33.125,8030207,Big Sunflower,"MURPHY BAYOU AT MURPHY, MS"
USGS-331037090404501,-90.679133,33.177,8030207,Big Sunflower,E0189  HUMPHREYS
USGS-331302090485901,-90.813278,33.215997,8030207,Big Sunflower,M0153  WASHINGTON
USGS-331432090435300,-90.731944,33.2375,8030207,Big Sunflower,"BIG SUNFLOWER RIVER BL BOGUE PHALIA NR DARLOVE, MS"
USGS-331637090432700,-90.724262,33.277065,8030207,Big Sunflower,"BIG SUNFLOWER RIVER BELOW KINLOCK, MS"
USGS-332348090505301,-90.848056,33.396667,8030207,Big Sunflower,F0195  WASHINGTON (Leland)
USGS-332554090503100,-90.842043,33.431784,8030207,Big Sunflower,BOGUE PHALIA NR ELIZABETH              072886499
USGS-332730090280501,-90.468133,33.458311,8030207,Big Sunflower,R0189  SUNFLOWER
USGS-332844090370800,-90.618889,33.478889,8030207,Big Sunflower,BEAVER DAM BAYOU NR INDIANOLA MS
USGS-333005090494500,-90.829167,33.501389,8030207,Big Sunflower,"LITTLE SUNFLOWER R DIVERSION AT RR NR REDWOOD, MS"
USGS-333136090244900,-90.413697,33.526786,8030207,Big Sunflower,"TURKEY BAYOU NEAR ITTA BENA, MS"
USGS-333145090261901,-90.438611,33.529167,8030207,Big Sunflower,J0196  LEFLORE (Quiver River)
USGS-333251090323801,-90.543889,33.5475,8030207,Big Sunflower,O2058  SUNFLOWER (Sunflower)
USGS-333251090323804,-90.543889,33.5475,8030207,Big Sunflower,O2058B  SUNFLOWER
USGS-333328090554800,-90.93,33.557778,8030207,Big Sunflower,CLEAR CREEK NEAR STRINGTOWN MS
USGS-333420090445900,-90.749972,33.572361,8030207,Big Sunflower,"PORTER BAYOU TRIB NO 1 NW OF FRAZIER, MS"
USGS-333600090281000,-90.469444,33.6,8030207,Big Sunflower,"MCGREGORY BAYOU NR BLAINE, MS"
USGS-333601090450000,-90.750083,33.600528,8030207,Big Sunflower,"PORTER BAYOU NEAR SHAW, MS"
USGS-333830090394600,-90.662778,33.641667,8030207,Big Sunflower,"PORTER BAYOU TRIB NO 4 OFF FOX ROAD NR SHAW, MS"
USGS-333844090515400,-90.865,33.645556,8030207,Big Sunflower,BOGUE PHALIA AT LITTON MS
USGS-333914091002901,-91.010536,33.652986,8030207,Big Sunflower,N0051  BOLIVAR
USGS-333940090370900,-90.618611,33.659444,8030207,Big Sunflower,"JONES BAYOU AT LINN, MS"
USGS-334030090482200,-90.806111,33.675,8030207,Big Sunflower,"EAST BOGUE HASTY NR SKENE, MS"
USGS-334324090262400,-90.44,33.723333,8030207,Big Sunflower,DUGAN BAYOU NEAR RULEVILLE MS
USGS-334402090395400,-90.665833,33.735,8030207,Big Sunflower,"UNNAMED TRIBUTARY DARR BAYOU NR CLEVELAND, MS"
USGS-334527090350400,-90.584444,33.7575,8030207,Big Sunflower,BURRELL BAYOU NEAR RULEVILLE MS
USGS-334747090285000,-90.480556,33.796389,8030207,Big Sunflower,WILD BILL BAYOU NEAR DREW MS
USGS-334956090402201,-90.672778,33.832222,8030207,Big Sunflower,H0210  BOLIVAR (Merigold)
USGS-335054090230200,-90.384111,33.848556,8030207,Big Sunflower,"PARKS BAYOU NEAR SWAN LAKE, MS"
USGS-335100090225500,-90.423333,33.818056,8030207,Big Sunflower,"PARKS BAYOU NEAR GLENDORA, MS"
USGS-335100090225700,-90.382312,33.850114,8030207,Big Sunflower,"UNNAMED TRIBUTARY PARKS BAYOU NEAR SWAN LAKE, MS"
USGS-335105090415300,-90.697597,33.850946,8030207,Big Sunflower,MOUND BAYOU NEAR MERIGOLD MS
USGS-335226091004201,-90.976178,33.864675,8030207,Big Sunflower,F0162  BOLIVAR
USGS-335250090454700,-90.763056,33.880556,8030207,Big Sunflower,"UNNAMED TRIBUTARY JONES BAYOU NR MOUND BAYOU, MS"
USGS-335318090303001,-90.508414,33.888403,8030207,Big Sunflower,D0086  SUNFLOWER
USGS-335408090224600,-90.379581,33.902247,8030207,Big Sunflower,"STATEN BRAKE AT HWY 32 NEAR WEBB, MS"
USGS-335429090415001,-90.697189,33.907914,8030207,Big Sunflower,B0126  BOLIVAR
USGS-335458090287000,-90.48,33.915833,8030207,Big Sunflower,"BEAR BAYOU NEAR PARCHMAN, MS"
USGS-335632090291000,-90.486111,33.942222,8030207,Big Sunflower,"BEAR BAYOU NR MINOT, MS"
USGS-335737090270100,-90.448333,33.960833,8030207,Big Sunflower,"QUIVER RIVER NR ROME, MS"
USGS-335749090273300,-90.459167,33.963611,8030207,Big Sunflower,HOMECYPRESS BAYOU NEAR ROME MS
USGS-335915090423900,-90.710833,33.9875,8030207,Big Sunflower,"HUSHPUCKENA RIVER NR HUSHPUCKENA, MS"
USGS-340036090474400,-90.795556,34.010083,8030207,Big Sunflower,"HUSHPUCKENA RIVER AT DESSON, MS"
USGS-340413090340301,-90.567953,34.070603,8030207,Big Sunflower,N0096  COAHOMA
USGS-340507090345400,-90.581667,34.085278,8030207,Big Sunflower,HARRIS BAYOU AT MOUTH NEAR COUNTS MS
USGS-341210090343701,-90.576944,34.202778,8030207,Big Sunflower,J2013 COAHOMA (Clarksdale)
USGS-341210090343703,-90.576944,34.202778,8030207,Big Sunflower,J2013B  COAHOMA
USGS-341341090413100,-90.691944,34.228056,8030207,Big Sunflower,RICHES BAYOU NR SHERARD MS
USGS-341404090385600,-90.648889,34.234444,8030207,Big Sunflower,"OVERCUP SLOUGH TRIBUTARY NO 1 NEAR FARRELL, MS"
USGS-341453090382800,-90.641111,34.248056,8030207,Big Sunflower,"OVERCUP SLOUGH TRIB NO 3 NR FARRELL, MS"
USGS-341526090392600,-90.657222,34.257222,8030207,Big Sunflower,"OVERCUP SLOUGH TRIB NO 4 NR FARRELL, MS"
USGS-341550090391300,-90.653611,34.263889,8030207,Big Sunflower,"OVERCUP SLOUGH TRIBUTARY NO 2 NEAR FARRELL, MS"
21MSWQ-YZ607,-90.953333,33.871944,8030207,Big Sunflower,CONSERVATION LEAGUE LAKE (LAKE CHARLIE CAPPS)
21MSWQ-YZ610,-90.360416,33.551806,8030207,Big Sunflower,LAKE HENRY
21MSWQ-YZ614,-90.580833,33.866,8030207,Big Sunflower,LONG LAKE
21MSWQ_WQX-07288150,-90.710972,33.987444,8030207,Big Sunflower,HUSHPUCKENA RIVER
21MSWQ_WQX-07288500,-90.543361,33.547222,8030207,Big Sunflower,BIG SUNFLOWER RIVER
21MSWQ_WQX-111A14,-90.70025,34.209083,8030207,Big Sunflower,RICHIES BAYOU
21MSWQ_WQX-111A99,-90.479843,33.797026,8030207,Big Sunflower,WILD BILL BAYOU
21MSWQ_WQX-111B28,-90.582857,34.08569,8030207,Big Sunflower,HARRIS BAYOU
21MSWQ_WQX-112A05,-90.514543,33.135918,8030207,Big Sunflower,HARD CASH LAKE
21MSWQ_WQX-376BLK07,-90.594472,33.983667,8030207,Big Sunflower,BLACK BAYOU
21MSWQ_WQX-A0270011,-90.692107,34.227981,8030207,Big Sunflower,RICHIES BAYOU
21MSWQ_WQX-D200,-90.445007,33.723496,8030207,Big Sunflower,DUGAN BAYOU
21MSWQ_WQX-YZ610,-90.360417,33.551806,8030207,Big Sunflower,LAKE HENRY
21MSWQ_WQX-YZ614,-90.580833,33.866,8030207,Big Sunflower,LONG LAKE
USGS-07288780,-90.921389,32.8175,8030209,Deer-Steele,"DEER CREEK AT CARY, MS"
USGS-07288815,-90.968159,33.40095,8030209,Deer-Steele,"RED BRIDGE BAYOU NR LELAND, MS"
USGS-07288820,-90.934547,33.269286,8030209,Deer-Steele,"BLACK BAYOU NR ARCOLA, MS"
USGS-07288825,-90.934825,33.212621,8030209,Deer-Steele,"BLACK BAYOU NR ESTILL, MS"
USGS-07288830,-90.923991,33.159289,8030209,Deer-Steele,"BLACK BAYOU NR HOLLANDALE, MS"
USGS-07288834,-91.023161,33.385672,8030209,Deer-Steele,"MAIN CANAL NR SWIFTWATER, MS"
USGS-07288838,-91.007883,33.269286,8030209,Deer-Steele,"MAIN CANAL NR WAYSIDE, MS"
USGS-07288842,-90.948158,33.160399,8030209,Deer-Steele,"GRANICUS BAYOU NR HOLLANDALE, MS"
USGS-07288843,-90.957881,33.122622,8030209,Deer-Steele,"BLACK BAYOU NR PERCY, MS"
USGS-07288844,-91.02705,33.157066,8030209,Deer-Steele,"GRANNY BAKER BAYOU NR JAMES, MS"
USGS-07288847,-90.99816,33.031513,8030209,Deer-Steele,"STEELE BAYOU NR GLEN ALLAN, MS"
USGS-07288860,-91.007605,32.958181,8030209,Deer-Steele,"STEELE BAYOU AT GRACE ROAD AT HOPEDALE, MS"
USGS-0728886910,-90.952778,32.915,8030209,Deer-Steele,"STEELE BAYOU TRIB NO 1 NEAR GRACE, MS"
USGS-07288870,-90.952881,32.911516,8030209,Deer-Steele,"STEELE BAYOU EAST PRONG NR ROLLING FORK, MS"
USGS-325723091001901,-91.005382,32.956515,8030209,Deer-Steele,A0093  ISSAQUENA
USGS-325728091002701,-91.0075,32.957778,8030209,Deer-Steele,A0175  ISSAQUENA (Hopedale)
USGS-325958090553500,-90.926392,32.999525,8030209,Deer-Steele,"OTTER BAYOU NEAR GRACE, MS"
USGS-330142091000801,-91.002206,33.028214,8030209,Deer-Steele,S0133  WASHINGTON
USGS-330152090595601,-90.998889,33.031111,8030209,Deer-Steele,S0194  WASHINGTON (Glen Allen)
USGS-330426090573900,-90.960937,33.074012,8030209,Deer-Steele,STEELE BAYOU NR PANTHER BURN           072888451
USGS-330735091013700,-91.02705,33.126511,8030209,Deer-Steele,DITCH NO 14 NR ERWIN                   072888425
USGS-330830090581600,-90.971215,33.141788,8030209,Deer-Steele,SWAN LAKE TRIBUTARY NR PERCY           072888427
USGS-331122091011800,-91.021772,33.189565,8030209,Deer-Steele,GRANICUS BAYOU NR JAMES                072888401
USGS-331150090573600,-90.960103,33.197343,8030209,Deer-Steele,UNNAMED DITCH NR JAMES                 072888411
USGS-331312091013200,-91.025661,33.22012,8030209,Deer-Steele,GRANICUS BAYOU NR AVON                 072888391
USGS-331753091011400,-91.020661,33.298174,8030209,Deer-Steele,MAIN CANAL SOUTHEAST OF SWIFTWATER     072888366
USGS-331754090555500,-90.932047,33.298452,8030209,Deer-Steele,BLACK BAYOU NORTHWEST OF ARCOLA        072888191
USGS-331938091012300,-91.023161,33.32734,8030209,Deer-Steele,MAIN CANAL EAST OF SWIFTWATER          072888353
USGS-331941090562400,-90.940102,33.328174,8030209,Deer-Steele,BLACK BAYOU NR BURDETTE                072888181
USGS-331949091012600,-91.023889,33.330278,8030209,Deer-Steele,"MAIN CANAL TRIBUTARY EAST OF SWIFTWATER, MS"
USGS-332158090571600,-90.954547,33.366229,8030209,Deer-Steele,BLACK BAYOU CANAL NR BURDETTE          072888171
USGS-332233090562301,-90.939825,33.375951,8030209,Deer-Steele,E0152  WASHINGTON
USGS-332358091012300,-91.023161,33.399561,8030209,Deer-Steele,MAIN CANAL AT GREENVILLE               072888331
USGS-332521090591800,-90.988438,33.422616,8030209,Deer-Steele,FISH LAKE NR METCALFE                  072888141
21MSWQ_WQX-111B51,-91.060432,33.100738,8030209,Deer-Steele,LAKE WASHINGTON
USGS-07288000,-90.575099,34.197331,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT CLARKSDALE, MS"
USGS-07288010,-90.549722,34.156389,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT HOPSON SPUR, MS"
USGS-07288036,-90.565931,34.102332,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR MATTSON, MISS."
USGS-07288048,-90.700194,34.209222,8030207,Big Sunflower,"RICHIES BAYOU AT SHERARD, MS"
USGS-07288068,-90.624944,34.07475,8030207,Big Sunflower,"HARRIS BAYOU AT PALMER RD EAST OF ALLIGATOR, MS"
USGS-07288070,-90.581764,34.08511,8030207,Big Sunflower,"HARRIS BAYOU NEAR COUNTS, MISS."
USGS-07288079,-90.573986,34.073722,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT COUNTS, MS"
USGS-07288080,-90.589542,34.064555,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT HARVEYS CHAPEL, MISS."
USGS-07288094,-90.638372,34.018686,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT JOHNSON RD NR ROUNDAWAY, MS"
USGS-07288095,-90.638431,34.018166,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR ROUNDAWAY, MISS."
USGS-07288140,-90.696211,34.053999,8030207,Big Sunflower,"HOWDEN LAKE NEAR DUNCAN, MS"
USGS-07288185,-90.594263,33.983445,8030207,Big Sunflower,"BLACK BAYOU AT BALTZER, MISS."
USGS-07288190,-90.627319,33.951223,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR BALTZER, MISS."
USGS-07288200,-90.610651,33.881779,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR LOMBARDY, MISS."
USGS-07288280,-90.67,33.8325,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR MERIGOLD, MS"
USGS-07288300,-90.680096,33.785113,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR RENOVA, MS"
USGS-07288340,-90.633427,33.73067,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT DOCKERY, MS"
USGS-07288350,-90.593982,33.727892,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR RULEVILLE, MS"
USGS-07288355,-90.699541,33.77678,8030207,Big Sunflower,"LEAD BAYOU NEAR RENOVA, MISS."
USGS-07288357,-90.676762,33.732892,8030207,Big Sunflower,"LEAD BAYOU NEAR CLEVELAND, MISS."
USGS-07288359,-90.71593,33.762058,8030207,Big Sunflower,"SEWAGE DISPOSAL DITCH NEAR RENOVA, MISS."
USGS-07288360,-90.711208,33.762058,8030207,Big Sunflower,"SEWAGE DISPOSAL DITCH AT CLEVELAND, MISS."
USGS-07288361,-90.580119,33.724081,8030207,Big Sunflower,"DOUGHERTY BAYOU BELOW HWY 8 NEAR RULEVILLE, MS"
USGS-07288362,-90.696762,33.732891,8030207,Big Sunflower,"LEAD BAYOU TRIBUTARY NO. 1 NEAR CLEVELAND, MISS."
USGS-07288363,-90.680095,33.71817,8030207,Big Sunflower,"LEAD BAYOU TRIBUTARY NO. 1 NEAR BOYLE, MISS."
USGS-07288364,-90.678428,33.704003,8030207,Big Sunflower,"LEAD BAYOU TRIBUTARY NO. 2 NEAR BOYLE, MISS."
USGS-07288365,-90.642872,33.718725,8030207,Big Sunflower,"LEAD BAYOU NR BOYLE, MS"
USGS-07288366,-90.59926,33.717337,8030207,Big Sunflower,"HORSESHOE BAYOU NR RULEVILLE, MS"
USGS-07288368,-90.536757,33.651783,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR DODDSVILLE, MS"
USGS-07288370,-90.537589,33.60095,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NEAR BLAINE, MS"
USGS-07288500,-90.543144,33.54734,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT SUNFLOWER, MS"
USGS-07288519,-90.732833,33.567556,8030207,Big Sunflower,"PORTER BAYOU AT HWY 448 AT FRAZIER, MS"
USGS-07288521,-90.672361,33.54825,8030207,Big Sunflower,"PORTER BAYOU AT STEPHENSVILLE, MS"
USGS-07288523,-90.642869,33.488729,8030207,Big Sunflower,"PORTER BAYOU NEAR INDIANOLA, MS"
USGS-07288530,-90.575,33.473056,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AB QUIVER R NR INDIANOLA, MS"
USGS-07288550,-90.425,33.818417,8030207,Big Sunflower,"QUIVER RIVER NEAR DREW, MS"
USGS-07288555,-90.519444,33.713333,8030207,Big Sunflower,"QUIVER RIVER SOUTHEAST RULEVILLE, MS"
USGS-07288570,-90.401476,33.640395,8030207,Big Sunflower,"QUIVER RIVER NR DODDSVILLE, MS"
USGS-07288580,-90.438697,33.529563,8030207,Big Sunflower,"QUIVER RIVER NR SUNFLOWER, MS"
USGS-07288595,-90.487778,33.496944,8030207,Big Sunflower,"QUIVER RIVER AT MOOREHEAD, MS"
USGS-07288600,-90.518333,33.487778,8030207,Big Sunflower,"QUIVER RIVER NR MOORHEAD, MS"
USGS-07288609,-90.554255,33.474841,8030207,Big Sunflower,"QUIVER RIVER ABOVE THE MOUTH NEAR MOOREHEAD, MS"
USGS-0728860950,-90.564444,33.468056,8030207,Big Sunflower,"QUIVER RIVER AT NORTH NOBILE RD NR MOOREHEAD, MS"
USGS-07288610,-90.562589,33.462341,8030207,Big Sunflower,"BIG SUNFLOWER RIVER NR MOOREHEAD, MS"
USGS-07288620,-90.591667,33.427222,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT BAIRD, MS"
USGS-07288621,-90.633611,33.418333,8030207,Big Sunflower,"BIG SUNFLOWER RIVER AT INDIANOLA, MS"
USGS-0728862104,-90.668056,33.404167,8030207,Big Sunflower,"BEASLEY LAKE TRIBUTARY NO 3 NEAR INDIANOLA, MS"
